industry_category,stock_id,stock_name,type,date
上櫃指數股票型基金(ETF),00751B,元大AAA至A公司債,tpex,2024-12-31
ETF,00752,中信中國50,twse,2025-11-15
ETF,00753L,中信中國50正2,twse,2025-11-15
上櫃ETF,00754B,群益AAA-AA公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00754B,群益AAA-AA公司債,tpex,2024-12-31
上櫃ETF,00755B,群益投資級公用債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00755B,群益投資級公用債,tpex,2024-12-31
上櫃ETF,00756B,群益投等新興公債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00756B,群益投等新興公債,tpex,2024-12-31
ETF,00757,統一FANG+,twse,2025-11-15
上櫃ETF,00758B,復華能源債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00758B,復華能源債,tpex,2024-12-31
上櫃ETF,00759B,復華製藥債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00759B,復華製藥債,tpex,2024-12-31
上櫃ETF,00760B,復華新興企業債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00760B,復華新興企業債,tpex,2024-12-31
上櫃ETF,00761B,國泰A級公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00761B,國泰A級公司債,tpex,2024-12-31
ETF,00762,元大全球AI,twse,2025-11-15
ETF,00763U,期街口道瓊銅,twse,2025-11-15
上櫃ETF,00764B,群益25年美債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00764B,群益25年美債,tpex,2024-12-31
上櫃指數股票型基金(ETF),00765B,群益中國政金債,tpex,2023-06-01
ETF,00766L,台新MSCI中國正2,twse,2024-12-05
ETF,00767,FH美國金融股,twse,2024-12-05
上櫃ETF,00768B,復華20年美債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00768B,復華20年美債,tpex,2024-12-31
ETF,00770,國泰北美科技,twse,2025-11-15
ETF,00771,元大US高息特別股,twse,2025-11-15
上櫃ETF,00772B,中信高評級公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00772B,中信高評級公司債,tpex,2024-12-31
上櫃ETF,00773B,中信優先金融債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00773B,中信優先金融債,tpex,2024-12-31
ETF,00774B,新光中國政金綠債,twse,2024-12-05
ETF,00774C,新光中政金綠債+R,twse,2024-12-05
ETF,00775B,新光投等債15+,twse,2025-11-15
ETF,00776,新光ICE美國權值,twse,2024-12-05
上櫃ETF,00777B,凱基AAA至A公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00777B,凱基AAA至A公司債,tpex,2024-12-31
上櫃ETF,00778B,凱基金融債20+,tpex,2025-11-14
上櫃指數股票型基金(ETF),00778B,凱基金融債20+,tpex,2024-12-31
上櫃ETF,00779B,凱基美債25+,tpex,2025-11-14
上櫃指數股票型基金(ETF),00779B,凱基美債25+,tpex,2024-12-31
